"neurons","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
1,12.7572913495114,0.731733405370958,9.95938114770969,0.122106374632549,0.0279409673489921,0.169527651712011
2,11.6063952413572,0.770525071632937,9.00830985184131,0.597202450131957,0.0493211966102891,0.524645720946996
3,13.1137288370845,0.717131180349354,10.1412643768925,0.368866325390847,0.0190738199942653,0.0307985442871865
4,15.2381208082749,0.652885807215833,11.6837400950132,0.248848855604355,0.0400747181437119,0.426695609168265
5,17.0068709606179,0.586398435134677,13.4132825391929,0.13414292234206,0.0588200862800761,0.285709529996794
6,17.666216015579,0.555404021218857,14.1342562670011,0.311939430852845,0.0762361903737625,0.0405219718489278
7,20.1141108890192,0.473384440146925,15.8732638645394,1.8413660518308,0.00583907951553372,1.48447894768926
8,19.2644394999068,0.495208327579122,15.3509707212139,0.615539505527463,0.0571126390601493,0.680564852097585
9,18.6632687972071,0.537695865929068,14.8012496010851,0.730915426006281,0.0199388475811445,0.523145030516464
10,17.994260222721,0.548875254311338,14.4346306334926,0.458272145692531,0.0201973299087811,0.183422064213437
