"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.3,1,0,0.6,1,0.5,50,11.9968393202804,0.753290703036653,9.61869569599406,0.00999608409093409,0.00194132780783236,0.067068556192948
0.3,1,0,0.6,1,1,50,11.9860691416237,0.753714851270777,9.60778964297686,0.0874916331785539,0.00415189629980177,0.0669808701197284
0.3,1,0,0.8,1,0.5,50,11.9481381370436,0.754859101013554,9.58255395677803,0.0472064436529426,0.00200584585996194,0.025533728971701
0.3,1,0,0.8,1,1,50,11.9218210687214,0.757033674367695,9.5662229377922,NA,NA,NA
0.4,1,0,0.6,1,0.5,50,11.7489585983055,0.762800655065522,9.39647811954222,0.0121022291306524,0.00205862819359375,0.0246442311407535
0.4,1,0,0.6,1,1,50,11.6983696423077,0.763362288015958,9.33945981040558,0.0554136606339357,0.00305060157337966,0.0330562542120616
0.4,1,0,0.8,1,0.5,50,11.6936779329209,0.762756572574843,9.31260184654143,0.0746205327499071,0.00440527433903952,0.0445424005319122
0.4,1,0,0.8,1,1,50,11.6842563571538,0.763572890600884,9.31140628507178,0.046535988051729,0.00281114078942081,0.0165037728463351
0.3,2,0,0.6,1,0.5,50,9.75114471672067,0.836280622482064,7.67485212435745,0.163714183637349,0.00574940038061417,0.127496598132387
0.3,2,0,0.6,1,1,50,9.44630226983241,0.846579022635771,7.42089323909688,0.223267468966809,0.00719275250966966,0.142149314533333
0.3,2,0,0.8,1,0.5,50,9.35886718457549,0.849486843440722,7.35481493389418,0.125467635983679,0.00439838563740207,0.0877665793127883
0.3,2,0,0.8,1,1,50,9.37113806147639,0.848897630584872,7.36369482964265,0.0967375864302522,0.00382813318225066,0.069248070606897
0.4,2,0,0.6,1,0.5,50,9.00405570442955,0.859657553633386,7.06229329144771,0.0824150750188488,0.00236513309140609,0.0579263474887016
0.4,2,0,0.6,1,1,50,8.87232044701236,0.864039228843464,6.93791824695683,0.0170768314932003,0.000416052248493008,0.00877149317416689
0.4,2,0,0.8,1,0.5,50,8.7889670433298,0.866327337002961,6.8907754094065,0.296925581563265,0.00911724370700072,0.293332980485781
0.4,2,0,0.8,1,1,50,8.78557348329535,0.866590813579383,6.90006624961564,0.0917541796104954,0.00268056063603163,0.0655767681024676
0.3,1,0,0.6,1,0.5,100,11.4182730760472,0.774569723859464,9.06674827548207,0.0364169682093414,0.00210940954238288,0.00687099040469449
0.3,1,0,0.6,1,1,100,11.4180444756701,0.774642838797767,9.07128780621317,0.0453633724579607,0.00231789310139362,0.0170447110761739
0.3,1,0,0.8,1,0.5,100,11.3833700086468,0.775499329619713,9.04044326250855,0.0562887894576524,0.0027763407211125,0.0313874037305768
0.3,1,0,0.8,1,1,100,11.3726301333794,0.776774012277485,9.05700510188726,NA,NA,NA
0.4,1,0,0.6,1,0.5,100,11.2140133811586,0.781634194776981,8.88501605645174,0.0479309634310091,0.00236021309030574,0.0379724693844643
0.4,1,0,0.6,1,1,100,11.193144701869,0.782836120756738,8.8767980843826,0.0559059818652145,0.00287760595332834,0.030821777007737
0.4,1,0,0.8,1,0.5,100,11.1299319287375,0.784395727626673,8.81895944750658,0.0814091804158397,0.00403834523998556,0.0714014348610603
0.4,1,0,0.8,1,1,100,11.1517997553612,0.784412802158439,8.84242048325689,0.0492182177686754,0.00254583836482077,0.0177136260842882
0.3,2,0,0.6,1,0.5,100,8.47829469137192,0.875706504018478,6.6487639822255,0.0815939379313392,0.00267694911237981,0.0931752252990092
0.3,2,0,0.6,1,1,100,8.32253460898694,0.88025826596164,6.50531599635396,0.0359828417752704,0.00122420962628631,0.00173432182894687
0.3,2,0,0.8,1,0.5,100,8.21594909694094,0.883447400294112,6.43690623814268,0.00121632166330719,0.000303586021843219,0.0251537400003256
0.3,2,0,0.8,1,1,100,8.13090294859838,0.885817871262312,6.34816870637042,0.0234340926718321,0.00108035133321925,0.0317012072045605
0.4,2,0,0.6,1,0.5,100,7.84009456937251,0.89348662293165,6.116667927292,0.0105143192421517,0.000594026935541586,0.00670655491335852
0.4,2,0,0.6,1,1,100,7.89382824314416,0.891853701638264,6.14698062613233,0.0310982982140003,0.000851342237596214,0.0183948971461704
0.4,2,0,0.8,1,0.5,100,7.68522757496729,0.897434590757024,6.01517542570316,0.0984833294919269,0.00274155149557021,0.110145124891696
0.4,2,0,0.8,1,1,100,7.73929022709233,0.89603312180768,6.03732865592741,0.175619923536276,0.00441682999251435,0.160188752894917
